 id   bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err    bayes.IRAS3  bayes.IRAS3_err    bayes.LSST-g  bayes.LSST-g_err    bayes.LSST-i  bayes.LSST-i_err    bayes.LSST-r  bayes.LSST-r_err    bayes.LSST-u  bayes.LSST-u_err    bayes.LSST-y  bayes.LSST-y_err    bayes.LSST-z  bayes.LSST-z_err  bayes.WFIRST_106  bayes.WFIRST_106_err  bayes.WFIRST_129  bayes.WFIRST_129_err  bayes.WFIRST_158  bayes.WFIRST_158_err  bayes.WFIRST_184  bayes.WFIRST_184_err    best.chi_square  best.reduced_chi_square  best.agn.beta  best.agn.fracAGN  best.agn.gamma  best.agn.opening_angle  best.agn.psy  best.agn.r_ratio  best.agn.tau  best.attenuation.B_B90  best.attenuation.E_BVs.nebular.continuum_old  best.attenuation.E_BVs.nebular.continuum_young  best.attenuation.E_BVs.nebular.lines_old  best.attenuation.E_BVs.nebular.lines_young  best.attenuation.E_BVs.stellar.old  best.attenuation.E_BVs.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.ebvs_old_factor  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.gamma  best.dust.qpah  best.dust.umin  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.agn.agn_luminosity  best.agn.luminosity  best.agn.scatt_luminosity  best.agn.therm_luminosity  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.stellar.old  best.attenuation.stellar.young  best.dust.luminosity     best.dust.mass  best.sfh.integrated     best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs   best.stellar.lum  best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.n_ly  best.stellar.n_ly_old  best.stellar.n_ly_young     best.LSST-u     best.LSST-g     best.LSST-r     best.LSST-i     best.LSST-z     best.LSST-y  best.WFIRST_106  best.WFIRST_129  best.WFIRST_158  best.WFIRST_184     best.IRAS3 
 24   16.3881625964      18.1257776252        499913659894.0            133754985611.0  50.4589150939    7.08150793223   1.87277797107    0.122714535866    6.8035310878    0.240310673404    4.3657039306    0.234651175662  0.418817586014   0.0550846648169   11.5075279067    0.319079585058   9.24426060833    0.260800317771     13.5922348971        0.442141711684     17.5047511026        0.842013624709     21.5824912938         1.51434594972     25.9785427213         2.33467611613  1.52849171657e-21        1.52849171657e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.66252335059                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0761954693           1.36727770549                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0             1000.0            3127.00394795               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        3.8190937263e+34                         1.37196299792e+36                     8.087378703e+34                     2.90529249238e+36             1.83718351293e+38               6.14563115705e+37     2.57994216545e+38  1.34359246332e+35       959555387558.0    33.7166968926        35.0855755912        33.838359626  4.37314565045e+38     1.6846466932e+37        6.02980330547e+35          1.62434866015e+37     3.53618477359e+38       8.36960876858e+37      424205975847.0          424185880525.0             20095322.7015       535349411610.0           535031123438.0              318288172.247   5.0568435032e+54      1.36953553907e+53        4.91988994929e+54   0.46779272686   1.80641844007   4.08777502619   6.54181577399   9.04134596007   11.4712919682    13.6934997688    17.9307094479    22.4658835478    27.3091478631  51.9808108766 
 25   15.9825695799      5.81420111618         1363937046.43             1126962523.74  14.5586886481    1.85363148882  0.175829419028   0.0113058516994  0.270594024345   0.0131791190856  0.209244009555   0.0109964579326  0.104136892495   0.0142672258427  0.327966190622   0.0155543941971  0.281801806667    0.013616712645    0.372222310016       0.0138427866548     0.43460984735       0.0191367798158    0.501697341236       0.0310472886163    0.574744681461       0.0447479685128  5.43859237581e-22        5.43859237581e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68637578443                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0775507231           1.38718651849                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0             2000.0             32.166296693               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.06501557704e+33                         9.43929971647e+35                   6.49052981639e+33                      1.9988823781e+36             1.68259905584e+37               4.14263718702e+37     6.68020617971e+37  3.47894413939e+34        1197211899.53    23.5547026639        11.9721189953       22.5337199753  7.72363422923e+37    1.11946629466e+37        2.63359614946e+34          1.11683269851e+37     2.06372238575e+37       5.65991184348e+37        217019739.38           203950412.488              13069326.892        980192092.412            767924287.285              212267805.126  3.39594517252e+54      1.09912143073e+52        3.38495395821e+54   0.11065459052  0.174153656425  0.201686385417  0.275051479954  0.277568156604  0.331712465939   0.376625345379   0.429514991831   0.502140803324   0.584532800303  14.9226973772 
 26   105.778298038      49.0240244758         64041390627.4             30975977194.2  120.304345907    16.9955784935   2.47537356032     0.14557103817   4.43625419858    0.183967246124   3.47075543996    0.171393563805   1.08057620377    0.133070369795   5.85880710128     0.24915674304   5.07988353601    0.238612963587     6.61537319157        0.215633845713     7.84708270729        0.332824323931     9.07473221025         0.57891395416     10.3836792427        0.838894301488  8.61181342592e-22        8.61181342592e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68344564848                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07659745503           1.37952198026                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0             2000.0             345.15128118               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.62315986539e+34                         6.15528725247e+36                   5.55484854531e+34                     1.30345423821e+37             2.41728476287e+38               2.75033289505e+38     5.72598549682e+38  2.98200132609e+35        90128179583.3    151.556791718        147.607461291       151.213481118   7.0069021007e+38    7.31303483436e+37        2.60212081954e+35          7.28701362616e+37     3.25982023232e+38       3.74708186838e+38       28841737691.2           28752189337.1             89548354.0975        61286441439.2            59863855435.1              1422586004.14  2.21670646461e+55      9.40670985782e+52        2.20729975475e+55   1.11161296119   2.41111614423   3.33385729551   4.43071740521   5.05048036505   5.95351322223    6.72541224951    7.89000027976    9.25368496272    10.7262409605  122.981927108 
 27   129.965126547      56.8034720909        163338268424.0             63940171037.4  160.026716646    23.0344112978   3.73841065831    0.255897771014   7.75828880597    0.303559650161   5.82899101115    0.278759990505   1.39722563887    0.190516153181   10.7861748268    0.424739764584   9.23708908001    0.380895907472     12.2448421376        0.416882350208     14.7354674781        0.626560780364     17.2489065385         1.05577802967     19.9024641614         1.53910819709  1.74752657739e-21        1.74752657739e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67990699727                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07644297165           1.37677918211                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0             2000.0            748.378556242               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.99976107718e+34                         7.47594154314e+36                   8.46996299933e+34                     1.58311826716e+37             3.54975562226e+38               3.34365950383e+38     7.57255399731e+38  3.94366455772e+35       264149126964.0    183.939697586        183.859941233       183.938833054  9.66366424329e+38    8.89641313332e+37        4.56468833521e+35          8.85076624996e+37     5.10891306375e+38       4.55475117954e+38       95570595061.1           95461548597.2             109046463.875       168578531352.0           166848190036.0              1730341315.79  2.69523256522e+55      1.43432325456e+53        2.68088933267e+55   1.49744932275   3.66300950454   5.58789429844    7.6682648933   9.13699647272   10.8720604618    12.3509124733     14.810824513    17.6644042094    20.7028226205  160.975921923 
 20   61.4192897613      22.3333674604         5260633738.29             4336257738.98  55.6798043372    7.06912341704  0.674046751095   0.0432651274172   1.03910767059   0.0503259845126  0.803096869797   0.0420801211333  0.398559558061   0.0545665256295   1.26072457268   0.0598842080895   1.08296758989   0.0524221711047     1.43098179392       0.0532016549486     1.67122517091        0.073634887427     1.92971239745        0.119310066412     2.21109739727        0.171727599086  1.36758246372e-21        1.36758246372e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68639355564                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07754406182           1.38710510132                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0             1000.0            32.4409976907               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.17476763379e+34                          3.5959529605e+36                   2.48770819031e+34                     7.61485197116e+36             6.48928790691e+37               1.57964364566e+38     2.55428980497e+38  1.33023312578e+35        4633582819.02    89.6685280944        46.3358281902       85.9715694877  2.95395674435e+38     4.2648614343e+37        1.00935486619e+35          4.25476788564e+37     7.96077259249e+37        2.1578794851e+38       843304485.142           793387075.377             49917409.7648        3790278075.49            2980480048.76              809798026.724   1.2937295051e+55      4.21274296973e+52        1.28951676213e+55  0.423802757771  0.667790293958  0.774266917261   1.05539623915   1.06697565276   1.27509101004    1.44763449496    1.65179586185    1.93162352242    2.24863346239  57.0255420802 
 21   260.034157673      121.428514946        187028607403.0             85354437918.3    299.1366229    41.6868308214   6.46051654093    0.406670198998    11.861105692    0.489476491775   9.22982226204     0.45515850107    2.7434415812    0.348791766956   15.7914949484     0.67493449229   13.6745948084    0.634482578575      17.828573724        0.603156983605     21.1567741631        0.914931250949     24.4877261688         1.57212116362      28.043513121         2.26929010386  6.09807937124e-22        6.09807937124e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68288317021                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07650038009           1.37894721985                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0             1000.0            375.474484515               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.60026187735e+34                         1.49518365157e+37                   1.39768283176e+35                     3.16622667244e+37             6.25631002851e+38               6.68725489686e+38     1.43001885512e+39  7.44730863299e+35       264057094603.0    367.879257109        367.224844025       367.872322281  1.76474546908e+39    1.77684976877e+38        6.70228318059e+35          1.77014748558e+38     8.53803075486e+38       9.10942393592e+38       86028905517.9           85810817698.1             218087819.725       178028187984.0           174567553682.0              3460634301.36  5.38543065152e+55      2.36686864895e+53        5.36176196503e+55   2.80906181866   6.31009138015   8.88440904487   11.8267551023   13.5954143691   16.0259235506    18.1044798516    21.2917146201    25.0037989951    29.0072828138  306.070120607 
 22   201.515595661      88.5615540818        372582540314.0            131133758314.0  249.062525433    36.9370208947   6.45665964264    0.436953293105   14.4044135349    0.551392793239   10.6001619907    0.526789846627   2.26758949517     0.29162600085   20.5339609685     0.75472914032   17.4603548848    0.677118508981      23.387047093        0.783094319827     28.3497378173         1.20035910432     33.4223925122         2.03575432305     38.7862616882         3.00632921945  1.05341341364e-21        1.05341341364e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67784154589                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07631202955           1.37534123211                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0             1000.0            876.765526577               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.95688643878e+34                         1.10145083094e+37                   1.47320226358e+35                     2.33245126487e+37             6.01838597299e+38               4.93103523385e+38     1.19512826174e+39  6.22403613027e+35       593858720396.0    270.805901734        277.499008805       271.414903679  1.57186160162e+39    1.31260462022e+38        8.55609463832e+35          1.30404852558e+38     9.00253652711e+38       6.71607948906e+38      221573291895.0          221412213039.0             161078855.461       372285427688.0           369732358320.0              2553069368.63  3.97477482754e+55      2.49475501309e+53        3.94982727741e+55   2.39488890304   6.32662173286   10.1869846713   14.2121767629   17.2995838466    20.680178805    23.5630607036    28.5458584204    34.2968575218    40.3845588227  252.092049612 
 23   116.436034363      44.7164186219        452526793219.0            118239360559.0  154.195548709    24.0959461119   4.57514352637    0.322394975052   12.0426559387    0.435600650703   8.40536099602    0.428074812316    1.4078367606     0.17512543167   18.2946985745    0.589715525856   15.2333066574    0.494305195313     21.0884436988        0.708809087963     26.1085059547         1.22970654535     31.2590181759         2.04688984389      36.670406323          2.9730248417  1.06637757134e-21        1.06637757134e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67312020096                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07624756213           1.37244605915                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0             1000.0            1512.04997537               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       5.92835296547e+34                         6.08051129354e+36                   1.25539824243e+35                     1.28761955225e+37             4.24321934351e+38               2.72303143691e+38     7.52175881552e+38  3.91721124247e+35       800776954295.0    149.460804134        154.473882292       149.909821251  1.06184987587e+39    7.28185466809e+37        8.28359244056e+35          7.19901874368e+37     6.90991008864e+38        3.7085886701e+38      323885539515.0          323796539294.0             89000221.8104       476891414331.0           475481316789.0              1410097541.86  2.20174413501e+55      2.12592061264e+53        2.18048492889e+55   1.49621489422   4.45975733692   8.05980066552   11.7971478296   15.0565011643   18.3448776143    21.1955336795    26.4232348303    32.3114556738    38.4890249189  156.567265587 
 28    122.16551461      53.0671262588        255140694547.0             86849519173.3  153.054849843    22.3432787742   3.92822890656    0.265792663091   9.01215530709    0.337375335187   6.56225147426    0.315679750885   1.36141549986    0.183914940083   13.0256828015    0.488470712849   11.0192384828    0.425889858389     14.8886989059        0.516848149757      18.180880979        0.777526313071     21.5663505173         1.29341176942     25.1406654622          1.9036963103  1.29906977897e-21        1.29906977897e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67718697252                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0763911732           1.37488804267                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0             2000.0            1215.77482327               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        4.5576903177e+34                         6.80437187757e+36                   9.65144357583e+34                     1.44090551722e+37             3.68356809488e+38               3.04427308096e+38     7.34704667636e+38  3.82622396509e+35       442090902661.0    167.375504405        168.731632529       167.500752587   9.7235991462e+38    8.11300633261e+37         5.7226648102e+35          8.05577968451e+37     5.57688105446e+38       4.14671809175e+38      171875969655.0          171776632606.0             99337048.8831       270214932505.0           268639262530.0              1575669975.37  2.45640693011e+55      1.63439792618e+53        2.44006295085e+55     1.454367568   3.82503540595   6.26689746585   8.85762008182   10.8995082111   13.1195864896    15.0285495337    18.3718833093    22.1891743053    26.2200972188  155.072485694 
 29   81.6328514896       29.834297455        348381603264.0             92266052133.2   104.16604121    15.7111674647    3.0148225452    0.191701296334   8.21676989568    0.262176909361   5.64764318607     0.25195577733  0.924011908418    0.118761346728   12.7391220731    0.366419824993   10.5164374255    0.303557345771     14.7841833649        0.447908630603      18.541763979        0.794867675227      22.432506323         1.32349974497     26.5222521113         1.94071364301  1.18396717371e-21        1.18396717371e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67235282233                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07634982021           1.37188438608                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0             2000.0            2358.01936286               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.33913936334e+34                         4.17334950397e+36                   9.18863630782e+34                     8.83755684397e+36             2.85271957984e+38               1.86763387825e+38     5.10191558484e+38  2.65699573427e+35       712651178294.0    102.637032719        104.169299784       102.775647218  7.26349723703e+38    5.00200571413e+37        6.10843101072e+35          4.94092140403e+37     4.71962495443e+38       2.54387228261e+38      301773661128.0          301712692064.0             60969064.1964       410877516858.0           409910729758.0              966787100.224  1.51213270273e+55      1.55602506588e+53        1.49657245207e+55  0.989196297159   2.91542151182   5.37739872043   8.00139299788   10.3662702215   12.7806385893    14.9225632684    18.8590148353    23.2010291685    27.8082256619  106.341758701 
